field,index,data_type,language,local_weight,global_weight,search_type,value_type,fuzzi_value,operations,pre_processing
row_id,ab_test_2,int,en,10,10,deterministic,single,,and,off
full_name_en,ab_test_2,str,en,10,10,phonetics,single,10,or,on
first_name_en,ab_test_2,str,en,10,10,phonetics,single,AUTO,and,on
second_name_en,ab_test_2,str,en,10,10,phonetics,single,AUTO,and,on
third_name_en,ab_test_2,str,en,10,10,phonetics,single,AUTO,and,on
last_name_en,ab_test_2,str,en,10,10,phonetics,single,AUTO,and,on
mobile_number,ab_test_2,str,en,10,10,deterministic,mulitnale,,and,off
Nationality,ab_test_2,str,en,10,10,deterministic,single,,and,off
document_type,ab_test_2,str,en,10,10,deterministic,single,,and,off
document_number,ab_test_2,str,en,10,10,deterministic,single,,and,off
countrysource,ab_test_2,str,en,10,10,deterministic,single,,and,off
full_name_ar,ab_test_2,str,ar,10,10,phonetics,single,AUTO,or,on
first_name_ar,ab_test_2,str,ar,10,10,phonetics,single,AUTO,and,on
second_name_ar,ab_test_2,str,ar,10,10,phonetics,single,AUTO,and,on
third_name_ar,ab_test_2,str,ar,10,10,phonetics,single,AUTO,and,on
last_name_ar,ab_test_2,str,ar,10,10,phonetics,single,4,and,on
party_id,ab_test_2,int,en,10,10,deterministic,mulitnale,,not,off
